time [s]	line [1]	track/ direction [1]	loc. (actual) [km]	loc. (target) [km]	way (actual) [km]	way (target) [km]	speed (actual) [km/h]	speed (target) [km/h]	voltage [V]	current [A]	track-earth voltage [V]	energy input [kWh]	energy balance [kWh]	usable braking energy [kWh]	used braking energy [kWh]	recuperated braking energy [kWh]	energy braking resistor [kWh]	state [1]	tractive effort (actual) [kN]	tractive effort (target) [kN]	line and running resistance [kN]	acceleration (actual) [m/(s*s)]	acceleration (target) [m/(s*s)]	desired speed [km/h]	train configuration [1]	utilization rate [%]	
4016.000000	      2.0000000	      2.0000000	      8.9981108	      9.0129995	      0.3418889	      0.3270000	      0.2000000	      0.2000000	    786.8017578	     33.6428566	     -1.4060522	      1.9773067	      1.5989823	      0.5397444	      0.5397267	      0.3783244	      0.0000178	     30.0000000	    -20.4535370	      0.0000000	    -20.4535370	      0.0000000	      0.0000000	      0.2000000	      2.0000000	    100.0000000	
4018.000000	      2.0000000	      2.0000000	      8.9980001	      9.0129995	      0.3420000	      0.3270000	      0.2000000	      0.2000000	    786.8927002	     33.6389732	     -1.2410091	      1.9920124	      1.6136880	      0.5400943	      0.5400765	      0.3783244	      0.0000178	     30.0000000	    -20.4535370	      0.0000000	    -20.4535370	      0.0000000	      0.0000000	      0.2000000	      2.0000000	    100.0000000	
4020.000000	      2.0000000	      2.0000000	      8.9978886	      9.0129995	      0.3421111	      0.3270000	      0.2000000	      0.2000000	    787.6992188	     33.6045113	     -1.7854038	      2.0067182	      1.6283938	      0.5404441	      0.5404264	      0.3783244	      0.0000178	     30.0000000	    -20.4535370	      0.0000000	    -20.4535370	      0.0000000	      0.0000000	      0.2000000	      2.0000000	    100.0000000	
4022.000000	      2.0000000	      2.0000000	      8.9977779	      9.0120001	      0.3422222	      0.3280000	      0.2000000	      0.2000000	    787.9853516	     33.5923500	     -2.2053864	      2.0214238	      1.6430994	      0.5407940	      0.5407763	      0.3783244	      0.0000178	     30.0000000	    -20.4535370	      0.0000000	    -20.4535370	      0.0000000	      0.0000000	      0.2000000	      2.0000000	    100.0000000	
4024.000000	      2.0000000	      2.0000000	      8.9976664	      9.0120001	      0.3423333	      0.3280000	      0.2000000	      0.2000000	    785.6613770	     33.6916733	     -2.8193407	      2.0361295	      1.6578051	      0.5411438	      0.5411261	      0.3783244	      0.0000177	     30.0000000	    -20.4535370	      0.0000000	    -20.4535370	      0.0000000	      0.0000000	      0.2000000	      2.0000000	    100.0000000	
4026.000000	      2.0000000	      2.0000000	      8.9975834	      9.0120001	      0.3424167	      0.3280000	      0.1000000	      0.1000000	    787.9202881	     33.5636406	     -1.5063317	      2.0508215	      1.6724970	      0.5415075	      0.5414897	      0.3783244	      0.0000178	     50.0000000	    -21.2583847	      0.0000000	    -20.4535370	     -0.0138889	      0.0000000	      0.1000000	      2.0000000	    100.0000000	
4028.000000	      2.0000000	      2.0000000	      8.9975004	      9.0109997	      0.3425000	      0.3290000	      0.2000000	      0.2000000	    788.1475830	     33.5620079	     -1.4991190	      2.0655169	      1.6871926	      0.5418676	      0.5418499	      0.3783244	      0.0000178	     20.0000000	    -19.6495457	      0.0000000	    -20.4543915	      0.0138889	      0.0000000	      0.2000000	      2.0000000	    100.0000000	
4030.000000	      2.0000000	      2.0000000	      8.9973888	      9.0109997	      0.3426111	      0.3290000	      0.2000000	      0.2000000	    787.9078369	     33.5956154	     -0.9139678	      2.0802226	      1.7018982	      0.5422175	      0.5421997	      0.3783244	      0.0000178	     30.0000000	    -20.4535370	      0.0000000	    -20.4535370	      0.0000000	      0.0000000	      0.2000000	      2.0000000	    100.0000000	
4032.000000	      2.0000000	      2.0000000	      8.9972782	      9.0109997	      0.3427222	      0.3290000	      0.2000000	      0.2000000	    787.1246338	     33.6290398	     -0.1705716	      2.0949283	      1.7166039	      0.5425674	      0.5425496	      0.3783244	      0.0000178	     30.0000000	    -20.4535370	      0.0000000	    -20.4535370	      0.0000000	      0.0000000	      0.2000000	      2.0000000	    100.0000000	
4034.000000	      2.0000000	      2.0000000	      8.9971666	      9.0109997	      0.3428333	      0.3290000	      0.2000000	      0.2000000	    783.5236816	     33.7835960	      0.1137014	      2.1096339	      1.7313097	      0.5429172	      0.5428994	      0.3783244	      0.0000178	     30.0000000	    -20.4535370	      0.0000000	    -20.4535370	      0.0000000	      0.0000000	      0.2000000	      2.0000000	    100.0000000	
4036.000000	      2.0000000	      2.0000000	      8.9960556	      9.0089998	      0.3439444	      0.3310000	      3.8000000	      3.8000000	    781.4606934	     49.8521233	     -0.5562262	      2.1312771	      1.7529527	      0.5429172	      0.5428994	      0.3783244	      0.0000178	     20.0000000	      8.5209627	      0.0000000	    -20.4535370	      0.5000000	      0.0000000	      3.8000000	      2.0000000	    100.0000000	
4038.000000	      2.0000000	      2.0000000	      8.9931669	      9.0089998	      0.3468333	      0.3310000	      6.5999999	      6.5999999	    776.1545410	    250.9822693	     -0.2379820	      2.2394998	      1.8611754	      0.5429172	      0.5428994	      0.3783244	      0.0000178	     20.0000000	      2.1177526	      0.0000000	    -20.4179688	      0.3888889	      0.0000000	      6.5999999	      2.0000000	    100.0000000	
4040.000000	      2.0000000	      2.0000000	      8.9889441	      9.0039997	      0.3510556	      0.3360000	      8.6000004	      8.6000004	    780.1166992	     29.9727077	     -0.8473884	      2.2524898	      1.8741655	      0.5449831	      0.5449654	      0.3783244	      0.0000177	     20.0000000	     -4.2869101	      0.0000000	    -20.3838539	      0.2777778	      0.0000000	      8.6000004	      2.0000000	    100.0000000	
4042.000000	      2.0000000	      2.0000000	      8.9838610	      8.9989996	      0.3561389	      0.3410000	      9.6999998	      9.6999998	    782.8081665	     15.1268005	     -1.6047865	      2.2590685	      1.8807441	      0.5534601	      0.5534424	      0.3783244	      0.0000178	     20.0000000	    -11.5027113	      0.0000000	    -20.3560295	      0.1527778	      0.0000000	      9.6999998	      2.0000000	    100.0000000	
4044.000000	      2.0000000	      2.0000000	      8.9779720	      8.9919996	      0.3620278	      0.3480000	     11.5000000	     11.5000000	    788.8488770	     22.6963234	     -1.7683583	      2.2690151	      1.8906908	      0.5585690	      0.5585513	      0.3783244	      0.0000177	     20.0000000	     -5.8522496	      0.0000000	    -20.3395004	      0.2500000	      0.0000000	     11.5000000	      2.0000000	    100.0000000	
4046.000000	      2.0000000	      2.0000000	      8.9711666	      8.9840002	      0.3688333	      0.3560000	     13.0000000	     13.0000000	    795.6094360	     14.1204262	     -2.0719850	      2.2752564	      1.8969320	      0.5673832	      0.5673655	      0.3783244	      0.0000178	     20.0000000	     -8.0275612	      0.0000000	    -20.1002693	      0.2083333	      0.0000000	     13.0000000	      2.0000000	    100.0000000	
4048.000000	      2.0000000	      2.0000000	      8.9637775	      8.9759998	      0.3762222	      0.3640000	     13.6000004	     13.6000004	    852.7459106	     -9.1035995	     -6.8805251	      2.2752564	      1.8926193	      0.5867614	      0.5867339	      0.3826372	      0.0000275	     20.0000000	    -14.8273983	      0.0000000	    -19.6564808	      0.0833333	      0.0000000	     13.6000004	      2.0000000	    100.0000000	
4050.000000	      2.0000000	      2.0000000	      8.9560280	      8.9680004	      0.3839722	      0.3720000	     14.3000002	     14.3000002	    790.0799561	     -9.2870569	     -1.8505329	      2.2752564	      1.8885429	      0.6058934	      0.6058658	      0.3867136	      0.0000276	     20.0000000	    -13.9347162	      0.0000000	    -19.5686455	      0.0972222	      0.0000000	     14.3000002	      2.0000000	    100.0000000	
4052.000000	      2.0000000	      2.0000000	      8.9479170	      8.9600000	      0.3920833	      0.3800000	     14.8999996	     14.8999996	    806.4536133	    -14.1679564	     -3.6494989	      2.2752564	      1.8821952	      0.6272966	      0.6272690	      0.3930613	      0.0000275	     20.0000000	    -14.6495981	      0.0000000	    -19.4786816	      0.0833333	      0.0000000	     14.8999996	      2.0000000	    100.0000000	
4054.000000	      2.0000000	      2.0000000	      8.9396114	      8.9510002	      0.4003889	      0.3890000	     15.0000000	     15.0000000	    823.5095215	    -29.4980659	     -5.3005767	      2.2752564	      1.8686997	      0.6558478	      0.6558201	      0.4065568	      0.0000277	     20.0000000	    -18.4267902	      0.0000000	    -19.2316380	      0.0138889	      0.0000000	     15.0000000	      2.0000000	    100.0000000	
4056.000000	      2.0000000	      2.0000000	      8.9307499	      8.9429998	      0.4092500	      0.3970000	     16.8999996	     16.8999996	    812.9324951	     20.7155819	     -4.2954626	      2.2846122	      1.8780555	      0.6615477	      0.6615201	      0.4065568	      0.0000277	     20.0000000	     -3.7250702	      0.0000000	    -19.0171680	      0.2638889	      0.0000000	     16.8999996	      2.0000000	    100.0000000	
4058.000000	      2.0000000	      2.0000000	      8.9212503	      8.9329996	      0.4187500	      0.4070000	     17.2999992	     17.2999992	    898.7326660	    -23.7902679	     -1.2205148	      2.2846122	      1.8661771	      0.6892714	      0.6884540	      0.4184351	      0.0008174	     20.0000000	    -15.3294840	      0.0000000	    -18.5488720	      0.0555556	      0.0000000	     17.2999992	      2.0000000	    100.0000000	
4060.000000	      2.0000000	      2.0000000	      8.9121113	      8.9239998	      0.4278889	      0.4160000	     15.6000004	     15.6000004	    788.8899536	    -84.8497925	     -1.0312803	      2.2846122	      1.8289897	      0.7415144	      0.7406968	      0.4556224	      0.0008175	     50.0000000	    -27.8629227	      0.0000000	    -14.1805191	     -0.2361111	      0.0000000	     15.6000004	      2.0000000	    100.0000000	
4062.000000	      2.0000000	      2.0000000	      8.9044170	      8.9160004	      0.4355833	      0.4240000	     12.1000004	     12.1000004	    789.0484009	   -107.6397095	     -1.6250727	      2.2846122	      1.7818048	      0.8037551	      0.8029374	      0.5028074	      0.0008177	     50.0000000	    -37.9638405	      0.0000000	     -9.7941875	     -0.4861111	      0.0000000	     12.1000004	      2.0000000	    100.0000000	
4064.000000	      2.0000000	      2.0000000	      8.8978891	      8.9099998	      0.4421111	      0.4300000	     11.3999996	     11.3999996	    787.4005737	      3.2366192	     -1.3507229	      2.2860279	      1.7832206	      0.8173948	      0.8165771	      0.5028074	      0.0008177	     50.0000000	    -11.5629473	      0.0000000	     -5.9290166	     -0.0972222	      0.0000000	     11.3999996	      2.0000000	    100.0000000	
4066.000000	      2.0000000	      2.0000000	      8.8914165	      8.9029999	      0.4485833	      0.4370000	     11.8999996	     11.8999996	    779.1156006	    423.2524109	      0.4774778	      2.4692295	      1.9664221	      0.8173948	      0.8165771	      0.5028074	      0.0008177	     20.0000000	      1.1535817	      0.0000000	     -2.8706543	      0.0694444	      0.0000000	     11.8999996	      2.0000000	    100.0000000	
